firstName,lastName,birthday,email,Role,DepartmentId
Fuller,Armando,20-11-02,diam@convalliserateget.com,Engineer,1
Scott,Walter,20-08-17,risus@felis.org,Engineer,1
Eagan,Hamilton,19-09-09,vitae.risus@libero.net,Engineer,2
Vaughan,Reese,20-04-25,amet@scelerisque.ca,Engineer,2
Giacomo,Keane,19-02-24,ligula@nectempus.edu,Engineer,3
Grant,Neville,19-09-14,sollicitudin.orci.sem@ametconsectetuer.com,Engineer,3
Matthew,Octavius,19-06-07,rutrum.Fusce.dolor@lacusMauris.com,Engineer,4
Clarke,Davis,20-11-12,dolor.sit.amet@aaliquetvel.net,Engineer,4
Porter,Micah,20-05-16,Phasellus.nulla@Nam.net,Technician,1
Reuben,Drew,19-06-28,Aliquam.erat@laciniaSedcongue.ca,Technician,1
Dustin,Isaac,19-07-29,Nunc.sollicitudin@interdumliberodui.co.uk,Technician,2
Xander,Luke,20-02-28,aliquet.diam@diamnuncullamcorper.edu,Technician,2
Martin,Ciaran,19-04-02,porttitor.interdum.Sed@adipiscingnonluctus.net,Technician,3
Cain,Roth,19-11-03,risus.Quisque@Etiambibendumfermentum.net,Technician,3
Murphy,Dominic,19-01-21,quam.Curabitur@a.com,Technician,4
Tarik,Lucian,20-07-23,Praesent@bibendumfermentum.co.uk,Technician,4
Kane,Dean,20-08-04,justo@non.net,Technician,1
