firstName,lastName,birthday  ,email                                         ,Role      ,phone           ,DepartmentId
Fuller   ,Armando ,1989-07-18,diam@convalliserateget.com                    ,Engineer  ,011-880-196-3746,1
Scott    ,Walter  ,1984-06-01,risus@felis.org                               ,Engineer  ,011-285-264-1487,1
Eagan    ,Hamilton,1991-07-12,vitae.risus@libero.net                        ,Engineer  ,011-862-837-5651,2
Vaughan  ,Reese   ,1990-08-25,amet@scelerisque.ca                           ,Engineer  ,011-694-288-6523,2
Giacomo  ,Keane   ,1980-09-03,ligula@nectempus.edu                          ,Engineer  ,011-952-983-0202,3
Grant    ,Neville ,1989-08-16,sollicitudin.orci.sem@ametconsectetuer.com    ,Engineer  ,011-382-845-7949,3
Matthew  ,Octavius,1991-02-20,rutrum.Fusce.dolor@lacusMauris.com            ,Engineer  ,011-269-530-3679,4
Clarke   ,Davis   ,1986-10-08,dolor.sit.amet@aaliquetvel.net                ,Engineer  ,011-233-485-6613,4
Porter   ,Micah   ,1984-01-10,Phasellus.nulla@Nam.net                       ,Technician,011-370-985-8380,1
Reuben   ,Drew    ,1982-12-23,Aliquam.erat@laciniaSedcongue.ca              ,Technician,011-664-266-0480,1
Dustin   ,Isaac   ,1986-01-04,Nunc.sollicitudin@interdumliberodui.co.uk     ,Technician,011-931-474-5004,2
Xander   ,Luke    ,1982-05-09,aliquet.diam@diamnuncullamcorper.edu          ,Technician,011-930-380-0129,2
Martin   ,Ciaran  ,1988-08-27,porttitor.interdum.Sed@adipiscingnonluctus.net,Technician,011-546-294-6531,3
Cain     ,Roth    ,1989-01-21,risus.Quisque@Etiambibendumfermentum.net      ,Technician,011-559-164-0767,3
Murphy   ,Dominic ,1982-06-28,quam.Curabitur@a.com                          ,Technician,011-280-535-5097,4
Tarik    ,Lucian  ,1990-12-17,Praesent@bibendumfermentum.co.uk              ,Technician,011-612-134-9356,4
Kane     ,Dean    ,1980-09-17,justo@non.net                                 ,Technician,011-976-188-0340,1
